2021-12-09/17:11:07		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:14		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:14		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:14		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:14		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:14		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:14		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:14		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:14		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:15		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:15		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:15		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:15		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:15		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:15		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:15		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:16		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:16		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:16		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:16		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:16		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:16		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:16		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:16		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:16		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:17		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:17		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:17		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:17		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:17		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:17		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:17		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:17		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:18		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:18		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:18		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:18		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:18		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:18		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:18		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:18		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:18		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:18		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:19		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:19		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:19		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:19		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:19		 wafer_13012020_090817.csv: File loaded successfully!!
2021-12-09/17:11:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:23		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:23		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:23		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:23		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:23		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:23		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:23		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:23		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:24		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:24		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:24		 wafer_16012020_051629.csv: File loaded successfully!!
